"Year","Sex","agegroup","UF","pop"
2010,"f","40-44","Rio Grande Do Norte",112973
2010,"f","40-44","Rio Grande Do Sul",396685
2010,"f","40-44","Rondonia",51887
2010,"f","40-44","Roraima",12417
2010,"f","40-44","Santa Catarina",237241
2010,"f","40-44","Sao Paulo",1556962
2010,"f","40-44","Sergipe",71981
2010,"f","40-44","Tocantins",42598
2010,"f","45-49","Acre",15918
2010,"f","45-49","Alagoas",86441
2010,"f","45-49","Amapa",14355
2010,"f","45-49","Amazonas",78213.9999999999
2010,"f","45-49","Bahia",408230
2010,"f","45-49","Ceara",254141
2010,"f","45-49","Distrito Federal",85669
2010,"f","45-49","Espirito Santo",118559
2010,"f","45-49","Goias",192813
2010,"f","45-49","Maranhao",159912
2010,"f","45-49","Mato Grosso",90556
2010,"f","45-49","Mato Grosso Do Sul",80209
2010,"f","45-49","Minas Gerais",675448
2010,"f","45-49","Para",176436
2010,"f","45-49","Paraiba",113901
2010,"f","45-49","Parana",368629
2010,"f","45-49","Pernambuco",271967
2010,"f","45-49","Piaui",89857
2010,"f","45-49","Rio De Janeiro",594144
2010,"f","45-49","Rio Grande Do Norte",101144
2010,"f","45-49","Rio Grande Do Sul",405357
2010,"f","45-49","Rondonia",43992
2010,"f","45-49","Roraima",10505
2010,"f","45-49","Santa Catarina",227994
2010,"f","45-49","Sao Paulo",1463558
2010,"f","45-49","Sergipe",60673
2010,"f","45-49","Tocantins",35301
2010,"f","5-9","Acre",45809
2010,"f","5-9","Alagoas",158134
2010,"f","5-9","Amapa",40030
2010,"f","5-9","Amazonas",190437
2010,"f","5-9","Bahia",609503
2010,"f","5-9","Ceara",359188
2010,"f","5-9","Distrito Federal",107024
2010,"f","5-9","Espirito Santo",139241
2010,"f","5-9","Goias",241550
2010,"f","5-9","Maranhao",343123
2010,"f","5-9","Mato Grosso",131835
2010,"f","5-9","Mato Grosso Do Sul",101143
2010,"f","5-9","Minas Gerais",732722
2010,"f","5-9","Para",403443
2010,"f","5-9","Paraiba",162695
2010,"f","5-9","Parana",397836
2010,"f","5-9","Pernambuco",386337
2010,"f","5-9","Piaui",144809
2010,"f","5-9","Rio De Janeiro",558640
2010,"f","5-9","Rio Grande Do Norte",133256
2010,"f","5-9","Rio Grande Do Sul",379580
2010,"f","5-9","Rondonia",73672
2010,"f","5-9","Roraima",24582
